ageSmoke,age,smokingUse,expenditure
18,76,1.740466175,1581.43
18,63,-0.105360516,307.22
16,42,3.295836866,194.96
16,44,3.36729583,83.77
26,37,2.397895273,167
22,60,1.766441661,269.7
12,21,2.302585093,1180
18,35,3.295836866,181.56
15,34,3.218875825,321.96
20,67,2.48490665,250.4
17,68,2.944438979,125
17,26,2.302585093,1823.53
16,81,3.64805746,182.96
47,79,1.599387577,1407.51
20,86,3.433987204,271.83
40,87,1.840549633,413.08
19,24,1.504077397,67
19,28,2.302585093,107
18,26,2.197224577,2388.87
16,28,2.034705648,171
18,27,2.014903021,47
15,26,2.48490665,5836.5
19,32,3.044522438,471.93
22,28,1.32175584,82.95
16,67,4.644390899,726.78
16,66,4.624972813,980.28
18,87,3.555348061,3456.48
20,62,4.119037175,1792.11
18,62,3.113515309,178.12
30,63,3.526360525,132.58
14,28,3.113515309,161.61
23,32,1.609437912,908
25,37,2.564949357,3851
25,33,1.504077397,1759.31
20,39,2.63905733,605
23,84,2.397895273,1191.94
24,67,3.044522438,576
20,56,3.314186005,763
16,29,1.945910149,37
23,51,3.36729583,1345.42
14,25,2.197224577,3988.69
13,49,3.610917913,1157.49
17,41,3.555348061,264.24
16,63,3.17805383,1260.36
15,27,2.564949357,42
17,39,3.135494216,617.07
16,60,3.473518043,6706.44
18,50,3.401197382,298.35
15,29,-0.693147181,119.63
21,53,1.599387577,1298.77
24,40,2.833213344,419.98
16,29,2.63905733,80.2
16,26,1.909542505,62.76
20,29,1.609437912,885
17,53,3.36729583,516
17,64,3.871201011,51.99
19,26,1.386294361,23
20,61,3.583518938,153
21,57,0,821.01
15,28,2.63905733,58
24,50,1.435084525,55
20,28,1.504077397,5664.98
18,22,0.405465108,845
15,32,2.890371758,2206.78
20,71,3.951243719,4234.75
25,82,3.433987204,1119.82
25,74,3.80666249,544.97
45,94,3.218875825,47574.7
13,58,3.828641396,1589.54
18,38,3.258096538,25
17,38,1.945910149,50
18,74,3.514526067,1691.54
16,29,2.63905733,387
14,27,1.386294361,353.19
20,27,2.772588722,137.5
18,35,0.667829373,5507.13
19,45,3.442019376,428.5
17,39,3.135494216,2230.95
17,57,3.713572067,1660.43
24,33,-0.287682072,559.77
19,35,2.140066163,294
12,82,3.789855371,1020.66
15,29,1.504077397,1424.86
21,77,3.526360525,487.44
18,78,3.713572067,14095.33
38,66,3.926911618,1824.55
30,78,1.193922468,466.39
18,73,3.583518938,995.84
20,54,3.555348061,1188
15,41,2.302585093,1552
18,38,2.351375257,397
12,46,4.941642423,43775.69
21,46,3.218875825,1007.61
16,21,1.791759469,5755.77
17,20,1.098612289,716
23,29,1.252762968,530
12,39,3.555348061,444
14,26,1.871802177,277.32
21,29,2.772588722,578.19
15,41,3.349904087,215
25,41,-2.995732274,134
34,45,1.791759469,70
18,50,2.985681938,528
16,40,3.218875825,573.3
12,46,3.555348061,33.5
13,39,3.295836866,653.91
15,35,3.044522438,1049
18,30,2.564949357,2309.9
18,79,2.944438979,15712.94
18,44,1.832581464,395.94
15,19,0.405465108,86.36
12,28,3.238678452,422
14,26,0.955511445,32
16,62,3.688879454,125
25,57,2.803360381,226
30,71,4.430816799,832.56
18,44,3.701301974,475
35,37,1.504077397,645.58
21,55,2.862200881,1234.38
18,32,2.788092909,492.91
20,45,3.258096538,164
17,46,3.044522438,160
16,54,3.55820113,3539.07
32,54,3.540959324,4190.55
22,29,1.098612289,826
16,32,2.772588722,129
15,64,4.317488114,196.92
33,60,0.916290732,535.27
18,81,3.068052935,1630.33
20,83,2.545531272,1153.5
19,43,3.218875825,25
20,88,1.147402453,2666.66
13,45,3.90197267,262.98
18,24,1.252762968,141.89
14,20,1.945910149,3336
18,41,2.48490665,46.05
18,40,3.828641396,316.3
16,59,3.784189634,211.05
20,55,3.295836866,30
21,71,4.114963849,7
16,63,3.659708077,38225.54
18,44,3.258096538,510.86
19,43,3.218875825,43.6
24,63,2.197224577,4501.33
14,20,1.029619417,288.55
18,50,3.496507561,75
10,24,2.420368129,674.89
20,66,3.713572067,248.9
21,69,2.48490665,246
17,42,3.258096538,249
16,45,3.784189634,1172.89
21,52,2.995732274,545.4
15,23,1.147402453,200
23,57,4.248495242,2392.75
18,27,0.405465108,1774.05
20,30,2.397895273,163
25,37,2.277267285,199.57
14,62,3.668676747,815.37
30,55,2.208274414,843
18,60,3.068052935,1943.37
13,55,0.615185639,7419.57
14,47,2.890371758,170.59
14,65,3.931825633,670.54
21,57,2.917770732,2498.09
18,37,3.401197382,115
17,37,3.449987546,150
17,32,1.386294361,408.26
15,31,2.833213344,648.09
16,39,3.871201011,9593.31
18,56,1.360976553,786.28
16,51,3.091042453,747.46
16,57,1.410986974,1695.81
14,34,1.704748092,329.95
16,65,3.765840495,236.16
19,31,2.564949357,210.58
16,30,2.63905733,3485
17,34,-1.386294361,197.81
16,56,3.238678452,421
16,27,1.098612289,11356.72
15,33,2.944438979,768.06
26,80,3.518980417,288.33
20,48,2.128231706,78
18,45,1.909542505,424
18,19,-0.693147181,1436.42
17,51,3.555348061,247
14,71,2.954910279,480.23
17,70,3.951243719,4042.98
17,20,-0.223143551,354
10,64,1.609437912,207.66
17,61,1.435084525,592.96
15,36,3.091042453,301.22
28,74,3.496507561,1289.82
15,79,3.433987204,5449.55
16,51,2.931193752,536.9
27,34,1.568615918,503
13,66,3.988984047,32508.93
20,36,2.970414466,7943.06
28,75,3.871201011,1086.35
13,60,4.564348191,2756.5
20,76,3.713572067,156.2
14,28,2.014903021,668.11
22,32,1.011600912,85
20,27,1.16315081,33201.18
18,31,1.945910149,44
11,21,2.803360381,2656.45
21,54,4.219507705,88
14,24,2.1102132,684.91
16,28,2.564949357,4992.62
14,29,2.772588722,2293.91
16,69,3.737669618,1286.33
20,67,3.871201011,2401.54
20,74,0.438254931,804.93
15,37,3.828641396,462.56
13,25,2.970414466,107.8
15,55,4.189654742,852.44
18,79,4.276666119,298.68
18,35,0.405465108,4813.1
24,53,3.401197382,56.5
16,52,3.90197267,438.12
15,49,3.496507561,360.96
26,33,0.875468737,106.5
19,31,1.791759469,164.67
17,45,2.302585093,775.64
18,57,3.401197382,305
20,37,1.252762968,2635.42
18,60,3.465735903,1606.68
15,30,2.397895273,5754.9
18,79,2.970414466,486.86
14,19,1.098612289,40
21,65,4.283586562,3346.63
16,67,3.951243719,775.21
23,60,-2.995732274,850.39
15,24,2.302585093,128
35,58,-2.302585093,745.37
15,51,4.016383021,2672.6
21,33,0.262364264,1442.49
19,31,1.871802177,1182.01
17,30,1.435084525,249
17,49,2.803360381,682
16,73,4.283586562,2839.24
16,28,2.602689685,3659.61
16,90,3.737669618,6068.1
16,27,1.386294361,55
18,45,3.33220451,36
12,49,2.944438979,1092
16,62,3.157000421,1200.1
13,21,2.197224577,266
16,63,3.17805383,492
22,33,1.791759469,24
17,56,2.995732274,1964.41
16,23,2.079441542,262.93
20,65,0.810930216,10995.39
13,23,2.803360381,419.93
34,62,3.36729583,902.73
20,63,0.78845736,60
20,55,2.564949357,1166.69
16,43,3.33220451,5032.96
18,26,1.504077397,686.07
24,34,1.704748092,13560.5
37,42,1.791759469,590.38
21,30,1.609437912,2840
16,40,0.587786665,303
18,67,3.713572067,165
18,28,2.397895273,239.5
17,29,2.277267285,5689.22
23,74,3.526360525,6820.36
23,64,4.59511985,684.53
16,38,3.784189634,6342.9
14,28,2.420368129,1034.33
17,26,2.302585093,40
15,26,2.48490665,7281.22
19,63,2.890371758,330.49
18,73,4.025351691,35
20,71,5.049856007,5576.66
25,32,1.791759469,3802.56
15,35,2.351375257,137
18,54,4.252771799,136.99
15,28,-0.356674944,9819
17,28,1.791759469,195
17,64,2.970414466,703
20,65,3.828641396,6374.35
25,67,4.158883083,891
20,71,3.786459782,17381.18
18,74,3.33220451,581.02
30,74,1.945910149,973.84
15,68,4.682131227,657.5
16,28,1.504077397,122
13,34,2.397895273,70
20,74,4.166665224,28288.98
18,60,3.091042453,379
17,71,3.135494216,4127.8
22,82,4.110873864,18608.39
18,34,0.916290732,1744.49
30,73,0.78845736,795.91
19,49,3.17805383,447
20,52,3.737669618,12040.81
19,24,0.182321557,543
20,57,2.985681938,2460.72
13,64,4.212127598,4819.67
22,62,3.079613758,765.87
16,70,4.307437778,1689.64
15,38,3.17805383,148.77
21,47,2.785011242,119
18,41,3.17805383,3959.74
18,48,2.2300144,6273.96
25,77,3.135494216,6069.81
39,73,-1.609437912,1527.97
18,24,2.351375257,175
15,25,2.041220329,552.89
16,75,3.401197382,238.51
16,78,4.094344562,956.4
20,79,3.713572067,311.7
16,25,-1.203972804,1283.16
9,51,4.454347296,12698.26
12,40,0.300104592,1132.37
15,59,3.526360525,434.01
28,56,2.674148649,15435
16,25,2.302585093,58.67
15,85,4.941642423,1657.19
17,91,2.931193752,2525.37
14,62,3.17805383,1798.9
16,64,3.610917913,351.46
18,33,0.405465108,328
13,65,3.433987204,60
24,55,1.568615918,18393.19
16,32,-1.203972804,573.95
19,35,2.833213344,324.2
13,33,3.044522438,53
19,43,0.875468737,325
15,36,3.496507561,115
14,28,2.420368129,1044.27
21,60,4.350277936,1068.39
18,66,4.584967479,268
21,71,4.624972813,7727.76
15,38,2.079441542,161.1
15,23,1.504077397,206.25
17,25,0.993251773,1656
13,31,3.349904087,109.51
18,44,2.667228207,2005.02
16,39,2.48490665,1207.25
18,35,2.890371758,813
17,39,3.135494216,129
17,44,3.218875825,2387.28
16,21,1.098612289,730.29
17,31,2.014903021,7333.42
18,48,3.433987204,164
10,67,3.277144733,285
15,56,3.737669618,30
15,36,3.091042453,269.69
20,52,4.356708827,15887.05
12,23,1.791759469,4169.01
15,73,1.098612289,731.54
26,47,0.78845736,24189.65
16,72,3.850147602,1421.04
12,74,4.548599834,2367.98
18,75,3.277144733,63.42
17,63,3.850147602,966.06
18,36,2.944438979,3.29
18,34,2.833213344,30.85
14,43,0.223143551,215
17,73,4.682131227,1212.99
18,67,3.912023005,1991
16,46,3.328626689,1423
16,57,4.143134726,2145
20,32,1.504077397,235.28
16,29,2.708050201,1069.98
20,52,2.197224577,2986.27
16,46,2.772588722,395.56
21,52,0.810930216,323.8
17,71,3.583518938,1081.82
16,71,2.1690537,5777.06
15,59,4.248495242,2655.37
15,57,4.33073334,178
17,49,3.90197267,15
23,52,1.098612289,588.4
20,35,3.465735903,1034.8
15,29,3.624340933,396.94
17,62,4.356708827,1445.25
16,72,3.157000421,1547.06
17,57,1.558144618,235.14
16,55,1.147402453,665.31
14,21,1.280933845,167.38
17,42,3.258096538,656.95
13,42,2.63905733,489
14,48,1.945910149,122.92
21,30,-1.609437912,66.36
10,66,3.126760536,525
14,26,2.564949357,261
18,43,1.648658626,289.95
48,60,2.564949357,4363.28
35,61,1.791759469,60
16,53,3.218875825,555.4
16,49,3.526360525,732
17,65,2.397895273,506.11
14,36,1.609437912,85
22,66,3.113515309,388
15,48,4.624972813,70
19,84,3.713572067,4295.36
30,70,3.936715618,970.56
11,39,2.674148649,857.76
16,37,3.688879454,170
15,65,4.154969184,3672.49
18,67,2.708050201,2475.45
18,82,2.970414466,1081.7
18,20,0.810930216,123
21,66,3.828641396,568.07
17,40,3.17805383,574
28,65,4.189654742,1630.26
17,26,2.302585093,4324.33
18,81,2.079441542,2049.25
17,78,3.772760938,126
16,36,2.235376343,2671.31
24,58,2.708050201,1533
18,40,2.847812143,128
15,73,3.850147602,1215.91
20,84,4.17438727,30669.4
15,35,1.386294361,278
24,35,-0.693147181,431.89
17,75,3.850147602,2529.47
20,70,3.769306703,563.31
15,35,3.044522438,852
21,24,1.386294361,148.15
18,70,3.45946629,318.86
10,72,3.238678452,824.73
17,33,2.140066163,1291
12,20,2.197224577,293.5
17,40,3.871201011,25
20,66,3.258096538,7686
16,39,3.401197382,1441.64
17,40,2.197224577,243.67
19,79,3.258096538,8331.41
15,33,-0.223143551,728.69
15,59,3.871201011,1123
17,56,3.610917913,1387.65
27,37,1.011600912,322.5
20,35,2.772588722,1530
19,70,3.688879454,472
17,77,2.197224577,95.71
17,65,3.113515309,21744.21
15,64,2.374905755,2978.05
17,68,3.984343667,4379.52
22,69,2.00148,1234.69
22,45,0.182321557,638.78
14,21,0.336472237,384.88
14,57,1.481604541,201
16,45,3.091042453,278.25
17,41,2.079441542,750.63
17,41,2.708050201,625
17,53,2.351375257,3745.05
19,29,2.302585093,525.91
16,31,1.098612289,907
23,39,-0.916290732,40
18,41,2.014903021,1273.19
15,23,1.504077397,1015.78
18,41,3.871201011,1089.99
16,37,3.091042453,294.75
16,37,2.397895273,626
19,32,0.405465108,52
18,23,1.098612289,263.5
15,33,-0.223143551,454.75
14,36,1.749199855,972
16,27,2.48490665,882.46
22,31,0,83
18,32,2.708050201,470.05
17,40,3.401197382,1719.99
14,41,3.218875825,414
18,43,2.442347035,149
21,54,2.302585093,2475
19,70,3.555348061,1127.78
17,45,2.674148649,502
17,44,1.435084525,2002.5
14,26,-1.203972804,198
21,31,0.09531018,265.47
17,66,3.218875825,211.1
30,84,3.314186005,428.66
16,26,2.1102132,208
20,39,2.772588722,190
18,62,2.197224577,1180.89
16,75,3.912023005,784.14
19,74,4.007333185,474.14
12,38,3.518980417,1357
16,61,3.828641396,881.56
22,56,2.862200881,1256
16,29,3.044522438,5
16,22,2.351375257,2369.46
15,27,2.277267285,62
13,35,1.749199855,233.75
16,22,1.945910149,144.37
18,50,0.500775288,736.97
20,41,2.63905733,140.67
18,56,3.737669618,4133.8
17,47,0.641853886,878.84
18,66,3.198673118,100
16,36,2.756840365,327.5
21,36,1.609437912,575
13,38,2.747270914,237.03
20,74,3.912023005,760.37
17,73,1.981001469,2357.22
16,44,3.772760938,2905.74
17,65,3.258096538,488
16,62,2.302585093,1142.45
14,30,2.833213344,115
21,65,2.931193752,596.71
17,66,3.583518938,618
18,68,3.850147602,2226
17,33,2.833213344,1327
17,48,3.465735903,219
15,32,1.504077397,514.51
20,58,3.433987204,35950.51
15,46,3.871201011,610
18,43,2.564949357,165
23,47,2.931193752,1795
11,19,2.197224577,345
10,30,3.449987546,1931
14,29,2.48490665,846
15,20,1.098612289,134
18,36,2.656756907,313.3
20,49,3.135494216,4537.5
16,56,4.119037175,78
25,52,3.33220451,1004.72
18,57,2.995732274,22511.6
13,22,0,40
15,34,3.218875825,105
15,32,2.890371758,2719.74
20,31,-0.510825624,402
30,51,-1.897119985,490.05
16,70,4.624972813,11752.76
16,70,4.343805422,595
13,30,2.890371758,71.45
14,29,2.197224577,760.22
14,28,2.564949357,670
16,21,0.405465108,298
18,86,2.583997552,3518
18,71,3.295836866,1170
18,68,4.297285406,1996.66
17,41,3.218875825,80
12,38,3.701301974,263
20,64,3.258096538,8421.95
20,61,3.839452313,2051.46
17,30,1.686398954,1065.36
15,31,1.098612289,254
18,37,2.708050201,16
19,38,1.098612289,1603.62
21,69,4.527208645,5769.43
18,36,1.609437912,567
16,61,3.540959324,120.5
18,27,1.098612289,167
21,39,2.079441542,625
16,69,4.212127598,132
18,49,1.252762968,1690.5
21,52,0.048790164,43
17,79,4.477336814,12376.03
38,42,2.014903021,133
19,46,3.358637767,2710.21
17,44,3.33220451,3207.37
15,47,1.609437912,459
16,45,1.658228077,1199
18,20,0.810930216,955.79
17,54,3.63758616,160
16,34,1.871802177,15
25,51,2.49732917,2012.51
17,23,1.252762968,155
14,33,3.624340933,171.9
16,27,0.587786665,313
25,41,2.4765384,7420.45
16,53,0.641853886,261.95
18,51,3.433987204,292.57
18,22,0,793.5
18,72,3.562465529,1644.91
12,71,4.477336814,1236.2
13,44,3.449987546,1889.72
16,53,4.016383021,2603.27
13,24,2.890371758,1272
11,27,3.238678452,1563
17,70,3.36729583,85
18,69,3.258096538,754.31
17,41,3.218875825,4412.98
16,30,2.708050201,3206.49
18,58,4.119037175,2114.38
12,44,3.496507561,519
18,48,4.127134385,184
16,24,2.890371758,665.5
18,37,2.995732274,30
16,57,3.737669618,110
16,52,2.277267285,1140.2
18,38,1.098612289,88.95
16,53,3.401197382,2237.93
15,36,2.397895273,97
18,66,3.198673118,669.81
18,72,3.314186005,666.91
15,27,2.564949357,89.75
14,25,2.708050201,20
19,24,-0.510825624,313.39
16,76,1.504077397,4224.29
16,65,3.663561646,1055.67
16,66,1.32175584,3473.22
17,63,3.828641396,127
15,59,4.49980967,408.5
21,59,3.663561646,387.55
19,62,4.836281907,413.64
18,24,1.252762968,450
16,26,2.397895273,3112.16
12,26,1.871802177,480
26,51,3.912023005,8239.87
20,66,3.36729583,15468.07
17,46,3.401197382,1643.13
18,61,4.59511985,316
12,35,2.48490665,263
15,24,2.302585093,1612.88
16,58,2.944438979,715.75
19,68,3.688879454,196.48
14,26,1.252762968,279.95
17,24,-1.049822124,133.4
41,77,0.182321557,533.57
18,65,4.276666119,84.79
35,40,2.48490665,6604.05
17,64,4.564348191,27619.72
15,53,4.069026754,6030.65
16,68,3.970291914,621.94
21,57,2.917770732,4377.46
18,49,3.465735903,2768.5
18,47,3.737669618,106
14,50,3.96081317,1017.85
14,56,4.17438727,1241.66
19,71,3.970291914,2600.45
15,74,5.192956851,4763.74
15,63,4.297285406,1065.72
45,67,3.828641396,203.24
14,47,0.530628251,13057.2
20,54,2.1690537,60
15,32,1.609437912,78
20,75,3.583518938,5446
22,42,1.994700313,351
19,30,0.875468737,1737.44
18,84,3.433987204,516.33
16,46,3.218875825,278.66
18,64,2.197224577,1949.78
25,49,1.832581464,201.05
22,66,3.713572067,616.76
16,33,2.602689685,664
17,31,2.420368129,239.5
20,31,2.197224577,1050.69
15,26,2.48490665,352.5
10,69,3.36729583,3407.15
18,71,3.449987546,2079.64
19,38,2.995732274,29
16,36,3.267665989,31.5
14,62,3.871201011,2139.57
24,62,2.277267285,273
18,33,2.772588722,534.67
14,53,2.970414466,300
11,19,1.280933845,1726
21,53,3.719651113,1404
21,23,0.405465108,52
18,57,3.688879454,3024.91
18,58,4.094344562,31343.61
16,25,2.302585093,40
20,44,2.931193752,238.96
15,64,3.993602992,1150.88
20,62,3.482777369,889.76
15,30,2.48490665,45
16,69,3.496507561,20040.11
22,34,2.788092909,2529.39
16,60,3.518980417,658.36
23,63,1.816452082,365
17,63,4.543294782,3007
17,29,2.564949357,998.71
18,56,4.069026754,130
23,52,3.238678452,3926
16,34,1.558144618,603.62
16,81,2.261763098,193.3
22,31,2.014903021,1937.86
21,73,3.45946629,3523.66
18,44,2.1102132,100
18,63,3.496507561,762.52
15,63,0.693147181,547.54
18,65,3.267665989,50
18,69,3.135494216,616.5
18,22,1.386294361,57.5
16,65,3.401197382,1267
24,66,2.397895273,2265.88
17,41,2.944438979,261.95
14,20,1.252762968,425.5
15,26,2.708050201,1120
13,26,1.791759469,865.85
40,72,2.970414466,98
14,34,1.658228077,917
14,75,1.011600912,1382.2
15,59,4.212127598,4526.7
18,56,3.663561646,191.06
16,26,2.397895273,389.85
18,27,2.708050201,507
15,26,1.791759469,227
14,25,2.48490665,266
23,61,1.386294361,451.48
14,57,3.044522438,1181.01
16,20,1.609437912,220.95
16,28,2.564949357,138
18,30,2.48490665,6052
14,46,3.496507561,1318.95
14,32,3.63758616,3051.5
15,37,3.540959324,2431.48
16,55,3.496507561,864.01
37,51,2.014903021,10300.98
24,70,3.610917913,3945.83
20,65,3.761200116,1103.52
20,72,3.277144733,4075.13
17,64,3.17805383,1614.4
16,44,2.014903021,116
16,39,2.302585093,66.37
16,32,3.526360525,701
18,37,3.401197382,2204.79
15,32,3.295836866,3291.65
17,28,2.890371758,342.5
18,37,-0.287682072,4164.45
16,30,3.96081317,11935.11
10,77,4.219507705,9316.18
9,83,4.304065093,2278.4
18,63,2.63905733,257.46
16,59,4.007333185,123
18,43,3.258096538,70
19,20,0.693147181,139
16,53,4.043051268,684
20,24,1.32175584,197
18,26,0.916290732,589.5
21,66,3.828641396,1237.61
19,25,0.336472237,8109.81
14,67,3.931825633,10388.51
18,48,2.415913778,3711.38
15,38,3.583518938,42.81
12,40,3.36729583,4108.41
19,38,1.609437912,1647.92
21,69,3.583518938,234.34
20,69,3.044522438,154
16,44,3.36729583,112
17,37,1.147402453,539.74
21,30,-1.609437912,921.9
15,62,3.737669618,2010.35
30,38,1.909542505,1481.12
19,61,2.079441542,779.91
13,50,4.553876892,2069.92
17,47,4.350277936,3864.58
15,51,4.127134385,214.66
19,38,1.722766598,1073.29
22,68,2.970414466,1348.89
23,79,1.178654996,589.24
16,30,2.545531272,12486.08
19,27,1.504077397,6.5
24,43,2.995732274,3162.98
20,26,1.945910149,152
13,32,3.401197382,4174.24
16,51,3.583518938,11755.07
14,32,3.349904087,420.83
10,61,3.353406718,743.46
13,49,3.583518938,1323.29
20,36,2.610069793,847.06
12,54,0.765467842,4864.83
20,33,1.945910149,2464.99
19,43,3.218875825,100.9
17,42,2.564949357,449.21
15,27,2.564949357,1031.59
15,22,2.079441542,6882.49
30,42,2.564949357,1714.95
18,41,3.17805383,447
17,71,2.862200881,816.98
18,31,1.029619417,299.72
22,30,1.029619417,1640.55
18,79,3.417726684,1322.65
16,29,3.33220451,50
16,28,3.258096538,378
20,81,2.772588722,3404.06
14,76,4.127134385,239.25
14,44,3.657130756,113.88
30,70,-0.916290732,2103.13
16,69,3.688879454,1162
17,69,3.349904087,644.5
17,61,3.761200116,14095.11
15,66,3.663561646,803.45
14,21,2.079441542,724.85
18,81,3.761200116,220.35
17,24,1.386294361,57.73
18,76,0.993251773,23532.07
16,70,4.406719247,56
27,70,2.079441542,144
18,36,1.504077397,74.5
18,30,1.791759469,290.7
17,44,3.33220451,48
14,68,3.295836866,507.95
18,65,3.610917913,1895.53
17,59,3.208825489,1069.88
13,22,0.405465108,115.04
16,50,4.085976313,302
18,57,4.189654742,2366.85
16,54,2.48490665,282.94
16,50,3.17805383,927.85
40,73,1.481604541,221
17,49,3.590439381,602.28
18,41,3.17805383,4019.74
16,53,3.63758616,130
14,29,2.772588722,275.86
20,74,3.784189634,33
23,47,3.624340933,6545.97
13,43,1.568615918,192
18,57,2.397895273,1446.24
16,35,2.995732274,42
15,32,2.890371758,186
17,33,1.791759469,597.2
14,91,5.049856007,1317.73
19,39,2.756840365,640.45
16,41,3.951243719,97
18,72,2.446685437,904.1
18,60,3.761200116,2556.5
15,67,4.663439094,6064.08
20,62,3.713572067,2503.75
15,63,3.17805383,260
18,68,4.564348191,1288.43
28,83,4.33073334,4813.82
16,28,2.564949357,2125.4
13,30,2.890371758,219.83
11,31,2.772588722,674.01
18,34,1.223775432,18
11,23,2.564949357,6397.98
20,22,1.32175584,85
19,20,0.405465108,392
18,30,2.564949357,125.25
16,78,4.143134726,487.31
50,52,1.098612289,2507.62
20,51,2.602689685,815.61
18,26,2.197224577,50.59
18,20,0.810930216,836.76
17,61,3.984343667,939.95
14,78,4.516338972,569.23
16,62,-0.287682072,454.01
12,58,3.850147602,1027.32
15,39,2.420368129,23
18,38,2.545531272,43
18,48,2.740840024,382.91
16,19,-1.609437912,449.99
16,28,2.564949357,218.4
24,70,-1.609437912,536.19
18,36,0.500775288,319.18
23,36,2.079441542,66
16,33,2.890371758,601.29
12,27,3.113515309,1256.74
18,31,0.048790164,855.63
18,36,2.708050201,515
20,55,3.663561646,143
19,55,1.974081026,3000.79
16,23,2.079441542,1473
21,25,0.182321557,172.18
25,76,3.17805383,1069.04
15,71,4.219507705,751.98
26,86,2.995732274,996.44
20,76,2.667228207,4859.17
17,22,-1.203972804,411
17,31,2.708050201,410.27
18,35,3.091042453,1141
15,42,3.33220451,208.18
17,78,3.663561646,5915.98
18,59,3.449987546,133.09
13,49,3.988984047,14777.18
17,57,4.119037175,1380.4
16,31,3.465735903,26
18,28,2.957511061,176.5
16,54,4.356708827,387.88
15,58,3.258096538,1030.17
16,67,3.951243719,30
19,50,4.158883083,298
20,64,1.658228077,359.01
20,80,3.713572067,136
15,55,3.020424886,369
18,43,-1.203972804,356.99
21,66,1.16315081,1287.5
17,43,3.218875825,2337
20,65,0.916290732,165
26,66,-0.287682072,3903.61
19,63,3.80666249,1019
18,33,1.791759469,590
15,33,2.48490665,4828
11,31,3.737669618,25
18,61,3.091042453,6744.63
15,52,2.944438979,707.06
19,61,4.859812404,176.88
12,59,3.966511191,1361.16
18,41,2.197224577,119
18,30,2.564949357,118
10,44,3.044522438,4526.35
19,51,3.496507561,2419.05
13,28,0.875468737,13.17
21,58,3.586292865,3321.34
22,57,2.756840365,75
16,61,3.828641396,52
18,77,1.481604541,901.69
16,72,4.043051268,8408.57
16,62,4.25561271,213
15,23,0.048790164,995.5
14,27,2.63905733,72.9
15,47,3.496507561,498
13,42,4.094344562,52.37
13,27,2.708050201,281.9
15,74,4.094344562,74615.03
18,25,2.079441542,764.65
11,41,2.890371758,150
18,36,3.504054767,301
18,34,2.397895273,105.16
14,41,2.944438979,534.2
19,39,2.48490665,1222.44
16,48,3.496507561,20
14,30,2.972975286,274
15,30,1.791759469,3457.09
19,42,3.401197382,116.82
17,40,2.890371758,5734
22,47,2.970414466,55.93
16,44,3.772760938,1289.66
16,20,0.470003629,307.38
16,45,2.708050201,188
14,29,2.261763098,591
17,66,3.583518938,603.2
18,56,1.360976553,530.29
15,62,4.677490848,3927.09
16,25,2.708050201,64
17,26,-0.287682072,107.68
15,38,3.583518938,403
14,28,1.722766598,398.38
15,35,3.449987546,439.5
